IPV6央视(多源),#genre#
CCTV6,http://[2409:8087:74d9:21::6]/270000001128/9900000006/index.m3u8$LR?IPV6『线路27』
CCTV6,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226148/index.m3u8$LR?IPV6『线路28』
CCTV6,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8$LR?IPV6『线路29』
CCTV7,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000504/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000504$LR?IPV6『线路34』
CCTV7,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8$LR?IPV6『线路1』
CCTV7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265007/1.m3u8$LR?IPV6『线路4』
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$LR?IPV6『线路7』
CCTV7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$LR?IPV6『线路13』
CCTV7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/$LR?IPV6『线路27』
CCTV7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265007/$LR?IPV6『线路28』
CCTV7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000024341/$LR?IPV6『线路29』
CCTV7,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002141/index.m3u8$LR?IPV6『线路30』
CCTV7,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002141/index.m3u8$LR?IPV6『线路32』
CCTV7,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226432/index.m3u8$LR?IPV6『线路35』
CCTV7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000024341/1.m3u8$LR?IPV6『线路36』
CCTV8,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8$LR?IPV6『线路3』
CCTV8,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226150/index.m3u8$LR?IPV6『线路1』
CCTV8,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010216/$LR?IPV6『线路4』
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$LR?IPV6『线路7』
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?$LR?IPV6『线路8』
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8?$LR?IPV6『线路9』
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226008/index.m3u8$LR?IPV6『线路17』
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$LR?IPV6『线路19』
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/$LR?IPV6『线路21』
CCTV8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8$LR?IPV6『线路24』
CCTV8,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226150/index.m3u8$LR?IPV6『线路25』
CCTV8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8$LR?IPV6『线路26』
CCTV9,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226434/index.m3u8$LR?IPV6『线路1』
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$LR?IPV6『线路7』
CCTV9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8$LR?IPV6『线路8』
